And this?	و هذه؟
If I would have known about you...	لو انني كنت اعلم عنك
Looks like you have your next visitor.	يبدو أنه لديك زائر
Cavanaugh ordered me to keep you out of it.	امرني كافانو ان ابقيك خارج الموضوع
Well, that's another one we don't have to worry about.	حسناً، هذا واحد آخر لايجب علينا أن نقلق بشأنه
It's gonna take time to heal.	ستأخذ وقتا كى تشفى
13.1 Women in the Economy	13-1 دور المرأة في الاقتصاد
The passionate embraces of young lovers...	العناق العاطفي بين صغار المحبين
Drew?	درو)؟ )
I am! I have my foot to the floor.	اتوقف, قلب سوف يتوقف
Mom, where's Dad?	أمي، أين أبي؟ - لا أدري -
How long does this take?	كم يستغرق هذا؟
Do what I'm telling you. You'll wind up on a meat hook.	افعل ما أخبرك به وإلا سينتهي بك الحال معلقا كالحيوان
CRC/C/15/Add.155, para.	41 CRC/C/15/Add.155, para.
And keep your hands off.	أبعد يديك عنها
Toby Follet fromAnjuna..	توبى فولت من أنجونا
Here.	تفضّل
hysterically funny, but not-funny-looking guy comes up and says it... then maybe you did it earlier, maybe you didn't.	مرح للغاية ولكن ليس مضحك المنظر و يقولها و حينها ربما فعلتيها سابقا أو لا
No tip unless you feel me up again	لا بقشيش ما لم تتركيني ألمسك ثانية
- Oh, yeah.	- أوه، نعم.
But you knew it was going to happen.	. لكنك كنت تعلم بأن هذا سيحدث
Argos?	"ارجوس"؟
- Thank you.	- شكراً لك
However, the process of opening up an economy and the resultant increase in external competition pose major challenges, especially in terms of job loss in domestic industries.	غير أن عملية الانفتاح الاقتصادي وما يترتب عليها من زيادة في المنافسة الخارجية ، يشكلان تحديات رئيسية، ولا سيما من حيث فقد الوظائف في الصناعات المحلية .
I never have guests.	لا أحد يزورني أبداً
Yes, sir.	أجل يا سيّدي
I hardly knew him.	تعرفت عليه بصعوبة.
But the same criticism can be directed at Sarkozy.	إلا أن نفس الانتقاد من الممكن أن يوجه إلىساركوزي.
And the council wouldn't pay, so we sold her house but it wasn't enough.	لكي لا تدفع باعت منزلها ولكن ذلك لم يكن كافيا
Earth Monitoring Station, hailing all Ark survivors.	،محطة رصد الأرض (تنادي كل ناجيين الـ(آرك
Direct hit!	! اصابه مباشره
- Oh! - What up, Joe?	كيف حالك ، جوى ؟
There was someplace he needed to be.	هُناك بعض الأماكن التي ينبغي أن يذهب إليهَا.
My name is Josephine.	وأنا (سويت سو) إسمي (جوزيفين)
I found these in the house of Mr. Reedburn.	"لقد وجدت هذة في بيت السيد "ريدبورن
But you don't understand.	لكنك لاتفهمين
What time do you think he took off?	متي تظنين إنه رحل؟
I'll get it	سأقوم بذلك
I just brought treasure back to Egypt that was stolen from a tomb like this three nights after the crypt was sealed.	لقد أحضرت مؤخرآ كنزآ الى مصر قد سرق من مقبرة مثل هذه... بعد مرور ثلات ليالى من أغلاق السرداب... ...
Oh, I love those guys.	أحب أولئك الشباب.
(Man speaking indistinctly on TV) I got a D on my geography test.	حصلت على D على بلدي اختبار الجغرافيا.
- They paid.	-لقد دفعوا
Zoe.	(زوي)..
So, you're just going to wait for him to make the first move?	إذا ستنتظرين ليقوم بخطوته الأولى ؟
Lemon wasn't my destiny, so now it's my job to go find out who that destiny is.	قدري) تكن لم ليمون) الأن وظيفتي لذا، قدري تكُن التي هي من معرفة
How it does it, we have no idea.	كيف يتمكّنون من ذلك، ليس لدينا فكرة.
Says the caterer.	كما يقول المتعهّد بتقديم الطعام
You can't do much without your thumb.	لذا يمكنك اداء اعمالك من دون ابهامك هذا ما سيفرقنا عن زملاء
Honey, we feel your loss.	نشعر بخسارتك يا عزيزتي
I thought, "All right, he'll push me away,	ظننتُ , بأنه سيقوم بأبعادي
EX.CL/Dec.448 (XIII)	مقرر بشأن تقرير البرلمان الأفريقي
I told him I would pay for one more season.	قلتُ لهُ سأدفع لهُ عن موسم آخر فقط
We need to think of time as a resource, like oxygen and food. Going down will cost us.	علينا اعتبار الزمن مورداً كالأكسجين والطعام والهبوط هناك سيكون مكلفاً
Yes, mother.	نعم , أمي
University of Chile, Institute of International Relations; School of Diplomacy of the Ministry of Foreign Affairs.	جامعة شيلي، معهد العلاقات الدولية؛ والمعهد الدبلوماسي التابع لوزارة الخارجية.
You don't make meaningful connections.	امتنعت فعلَّ علاقات جاده
Wait! You have to take me to shore! According to the Code --	أيها الرجال جهزوا المدفعيه ارفعوا الأشرعة ضعوا الأعلام
If you ever do a bathroom or a kitchen...	إن نويتم عمل حمام أو مطبخ
Our room may not be the biggest that you are looking at, but, I assure you, you will find an intimacy here that you will not find elsewhere.	قاعتنا قد لا تكون أكبر ما شاهدتي لكن أؤكد لكِ بأنكِ ستجدي الألفة هنا لن تجدي بمكان أخر
What if anything happens to your son?	ماذا لو حدث لإبنك شيء؟
Strategic Directions for Human Development in Papua New Guinea, Asian Development Bank, Australian Agency for International Development, World Bank 2007.	() الاتجاهات الاستراتيجية للتنمية البشرية في بابوا غينيا الجديدة، مصرف التنمية الآسيوي، الوكالة الأسترالية للتنمية الدولية، البنك الدولي، 2007.
What are you talking about?	ما الذي تتحدثين عنه ؟
Under such agreements, selected vendors assume responsibility for the entire asset life cycle, including disposal.	وفي إطار هذه الاتفاقات، يتحمل بعض البائعين المختارين مسؤولية دورة حياة الأصول بكاملها، بما في ذلك التخلص منها.
Exploded?	-إنفجر ؟
b “V” represents the year in which the second commitment period ends.	(ب) `س` تشير إلى السنة التي تنتهي فيها فترة الالتزام الثانية.
It's so beautiful.	انه جميل جدا
I'm saying it makes more sense than the alternative.	أقوله أنه يجعل الشعور أكثر من البديل.
May have?	قد يكونون ؟
The establishment of a D-WASHE committee entails training its members through different levels.	62 - وإنشاء لجنة تثقيف في مجال المياه والصرف الصحي والنظافة العامة على صعيد المقاطعة يستتبع تدريب أعضائها عبر مستويات مختلفة.
That where freedom be.	هناك حيث الحرية
Okay, so you don't have a TV you don't have a cell phone and you don't have a computer?	حسنا, انتي لاتملكين التلفاز؟ لا تملكين الهاتف النقال ولا تملكين الكمبيوتر?
That's the door. First on the left with the white curtains.	هذا هو الباب الأول على اليسار عند الستائر البيضاء
Station to Control. Initiating sequence.	من المحطة الى مركز التحكم البدء فى التسلسل
I found Heather in front of the house.	وجدت "هيثر" فى واجهة المنزل
- I came to apologize.	-جئت للإعتذار
Just listen to me.	اسمعني فقط
A little bit.	-القليل .
What are you saying, you got fired?	ماذا تقول، هل تم طردك؟
Please!	! ارجوك
